input,elevation
"40.242301, -74.696408",21
"40.170048, -74.651278",15
"40.264418, -74.827047",48
"40.220669, -74.731201",19
"40.254018, -74.763385",32
"40.004416, -74.591269",46
"40.020284, -74.590178",34
"40.284308, -74.717976",26
"40.224505, -74.660279",33
"40.208731, -74.592097",41
"40.077041, -74.200383",18
"40.135366, -74.098050",12
"39.901987, -74.152651",15
"39.928405, -74.202189",19
"40.038584, -74.111600",4
"40.086235, -74.110850",11
"40.105375, -74.063421",5
"39.865669, -74.258864",28
"39.941792, -74.143814",16
"40.023772, -74.320756",23
"39.862755, -74.172064",8
"39.982051, -74.070619",4
"40.120018, -74.053257",7
"40.022724, -74.059040",2
"39.927706, -74.130615",2
"39.937116, -74.166931",5
"40.080784, -74.059125",8
"40.133372, -74.041501",5
"39.951907, -74.088150",0
"39.842500, -74.093433",0
"39.979031, -74.160429",11
"40.008533, -74.221768",18
"39.942397, -74.251072",20
"39.778981, -74.238592",43
"39.975287, -74.344727",37
"40.622794, -74.886324",102
"40.671028, -75.017983",269
"40.646655, -75.095715",105
"40.573874, -74.537507",22
"40.592434, -74.618840",32
"40.732130, -75.049029",107
"40.651832, -74.934206",81
"40.368288, -74.491018",33
"40.598731, -74.478793",26
"40.429119, -74.416287",44
"40.514658, -74.393104",39
"40.576806, -74.365750",52
"40.520045, -74.685662",42
"40.525105, -74.865254",67
"40.439256, -74.570451",43
"40.422086, -74.553237",59
"40.514169, -75.027112",128
"40.716574, -74.912125",254
"40.668431, -74.968385",267
"40.378579, -74.423518",21
"40.670022, -74.890271",112
"40.569594, -74.314925",11
"40.319474, -74.428801",43
"40.517202, -74.306784",17
"40.645542, -74.816261",80
"40.541269, -74.589273",13
"40.596376, -74.557320",68
"40.513105, -74.344075",14
"40.543139, -74.358981",41
"40.497692, -74.670505",35
"40.574627, -74.498259",13
"40.594266, -75.096659",73
"40.447921, -74.439078",16
"40.388262, -74.549618",46
"40.529933, -74.742314",31
"40.545640, -74.460817",18
"40.392789, -74.330397",13
"40.682576, -74.737037",79
"40.458848, -74.302768",36
"40.520494, -74.272943",29
"40.527412, -74.315892",30
"40.708223, -75.147074",114
"40.574254, -74.966157",148
"40.571349, -74.646019",34
"40.444335, -74.356884",5
"40.496619, -74.532009",35
"40.589554, -74.685411",47
"40.466410, -74.278625",18
"40.553947, -74.527455",18
"40.445652, -74.378459",8
"40.397671, -74.389399",7
"40.687502, -75.101127",103
"40.521268, -74.794840",58
"40.609021, -74.754216",48
"40.539039, -74.575423",9
"40.483638, -74.442460",25
"40.439213, -74.484303",37
"40.500795, -74.427911",27
"40.750633, -73.997177",19
"40.715775, -73.986212",25
"40.731829, -73.989181",27
"40.688630, -74.018244",5
"40.706027, -74.008835",28
"40.709614, -74.012954",25
"40.713848, -74.007755",39
"40.726399, -73.978631",12
"40.739065, -73.982255",33
"40.742039, -74.000620",14
"40.725581, -73.998078",21
"40.720103, -74.004903",14
"40.734012, -74.006746",14
"40.745224, -73.978297",17
"40.752360, -73.972493",28
"40.755319, -73.993114",24
"40.765823, -73.987169",21
"40.758236, -73.978833",34
"40.769258, -73.958751",37
"40.758628, -73.967948",25
"40.775921, -73.982607",46
"40.798452, -73.974428",16
"40.798601, -73.966622",35
"40.802381, -73.952681",16
"40.811407, -73.953060",13
"40.776441, -73.953509",29
"40.791763, -73.943970",5
"40.818267, -73.942856",16
"40.825288, -73.950045",46
"40.838815, -73.942836",54
"40.850545, -73.933983",63
"40.867076, -73.924312",19
"40.795455, -73.929655",6
"40.759260, -73.989860",16
"40.812957, -73.937376",13
"40.709278, -74.002562",24
"40.830867, -73.936218",7
"40.858305, -73.930549",25
"40.761915, -73.949962",19
"40.764612, -73.963122",56
"40.775906, -73.990358",12
"40.773361, -73.956216",37
"40.760780, -73.977670",34
"40.754499, -73.982256",35
"40.759114, -73.977596",35
"40.759167, -73.979668",33
"40.810852, -73.963744",57
"40.750310, -73.992979",26
"40.781432, -73.950013",37
"40.758404, -73.972031",29
"40.763622, -73.972439",29
"40.757779, -73.972487",29
"40.769300, -73.949915",12
"40.752131, -73.978722",32
"40.754648, -73.974771",30
"40.751448, -73.977103",30
"40.754391, -73.976098",32
"40.752625, -73.975877",29
"40.755899, -73.973858",30
"40.755273, -73.974315",30
"40.754131, -73.979364",33
"40.751441, -73.975003",26
"40.755139, -73.975934",33
"40.751393, -73.997229",16
"40.708205, -74.010504",28
"40.715182, -74.003778",16
"40.712626, -74.008669",30
"40.708538, -74.016650",24
"40.716921, -74.015066",14
"40.627456, -74.094407",67
"40.630688, -74.137776",10
"40.629885, -74.174130",3
"40.609227, -74.092575",62
"40.596691, -74.074866",12
"40.571768, -74.125950",20
"40.509183, -74.237785",19
"40.551884, -74.147646",27
"40.531346, -74.219857",37
"40.632648, -74.116148",21
"40.605241, -74.179503",14
"40.545237, -74.180443",34
"40.599263, -74.165748",12
"40.820479, -73.925084",19
"40.837393, -73.923437",32
"40.852779, -73.912332",40
"40.805489, -73.916585",19
"40.814710, -73.908593",15
"40.829881, -73.908120",16
"40.847150, -73.898680",18
"40.862543, -73.888143",26
"40.825867, -73.892942",20
"40.841758, -73.879571",17
"40.847381, -73.840584",2
"40.843280, -73.860389",19
"40.880678, -73.906540",15
"40.867787, -73.799920",3
"40.822615, -73.822239",8
"40.890964, -73.846239",33
"40.869953, -73.865746",38
"40.868093, -73.899730",47
"40.868607, -73.848133",28
"40.889530, -73.872662",53
"40.898868, -73.903328",90
"40.829556, -73.869336",8
"40.818690, -73.858474",7
"40.810549, -73.884367",7
"40.875169, -73.823817",8
"41.295608, -73.758490",226
"41.011602, -73.841433",78
"41.026556, -73.875310",26
"41.128468, -73.707521",121
"41.342090, -73.745449",180
"41.190395, -73.639144",153
"41.227896, -73.686047",116
"41.410855, -73.594340",129
"41.139472, -73.835704",140
"41.265428, -73.943192",14
"41.457619, -73.724608",340
"41.172153, -73.769196",223
"41.461974, -73.874908",315
"41.298243, -73.861993",142
"41.266143, -73.588296",165
"41.352346, -73.652662",158
"41.226478, -73.867787",144
"41.010310, -73.863746",105
"41.059341, -73.819457",55
"41.375325, -73.926217",214
"41.288102, -73.668835",95
"41.321183, -73.769878",177
"40.975049, -73.724925",32
"41.023712, -73.812810",130
"41.099278, -73.800327",103
"41.036927, -73.854864",97
"41.335169, -73.793919",136
"41.269098, -73.688694",96
"41.339740, -73.882349",92
"40.937752, -73.756473",17
"41.381113, -73.751935",219
"40.952693, -73.736040",16
"41.178591, -73.835450",163
"41.195609, -73.801126",141
"41.313334, -73.846039",151
"41.245696, -73.932977",43
"41.200584, -73.723465",126
"40.905448, -73.835253",50
"40.924460, -73.826115",41
"40.908584, -73.821652",38
"41.340527, -73.597609",163
"41.194480, -73.825254",161
"41.289483, -73.916847",60
"41.289600, -73.897001",126
"41.130067, -73.786670",90
"41.015857, -73.677404",52
"41.221577, -73.572332",227
"41.038367, -73.711114",100
"41.320276, -73.678991",153
"41.395364, -73.839053",176
"40.979049, -73.693202",24
"40.988682, -73.789204",83
"41.336623, -73.820007",157
"41.334143, -73.714634",145
"41.255269, -73.539404",202
"41.090097, -73.841014",127
"41.113425, -73.774292",156
"41.085897, -73.782645",83
"41.256258, -73.959177",27
"41.293021, -73.596568",171
"41.288223, -73.792203",184
"41.032932, -73.765071",72
"41.054400, -73.779287",112
"41.071512, -73.747093",158
"41.010525, -73.745125",84
"41.020572, -73.775846",83
"41.039089, -73.811368",130
"40.945420, -73.880471",32
"40.959829, -73.880302",109
"40.919729, -73.862651",65
"40.919705, -73.889928",72
"40.989821, -73.867552",88
"40.960533, -73.822732",44
"40.938267, -73.829922",26
"40.954635, -73.808184",70
"40.967157, -73.846339",76
"40.917570, -73.784858",22
"40.900458, -73.807138",18
"40.946841, -73.788051",51
"40.897721, -73.779258",24
"41.140772, -74.104976",118
"41.281570, -74.137958",279
"41.319158, -74.008159",244
"41.068258, -73.954975",78
"41.417717, -74.200026",152
"41.545359, -74.359321",154
"41.442343, -74.250577",144
"41.319572, -74.117639",149
"41.344192, -74.262177",162
"41.525959, -74.387618",181
"41.156495, -73.938239",65
"41.332065, -74.363422",123
"41.332760, -73.996452",113
"41.203121, -74.002263",84
"41.381005, -74.352471",153
"41.198181, -74.314759",191
"41.301846, -74.119760",337
"41.191052, -73.967562",72
"41.348970, -73.998495",244
"41.366224, -74.121236",239
"41.148792, -74.162522",206
"41.482160, -74.464285",212
"41.368021, -74.512999",152
"41.446544, -74.478741",225
"41.487318, -74.344437",157
"41.317346, -74.199881",225
"41.111118, -74.078540",201
"41.404964, -74.077432",83
"41.098819, -74.013262",91
"41.157191, -73.993416",71
"41.371913, -74.432479",148
"41.092068, -73.924648",47
"41.050066, -73.958585",68
"41.463529, -74.543423",264
"41.016204, -73.914304",64
"41.061561, -74.007832",86
"41.037017, -73.921259",57
"41.294859, -74.488006",147
"41.180177, -74.102175",366
"41.380516, -74.480462",143
"41.168058, -74.178013",122
"41.267079, -74.172263",260
"41.022960, -73.928488",18
"41.118920, -74.048158",147
"41.182830, -74.314921",217
"41.238822, -74.050163",257
"41.031088, -73.947703",30
"41.202903, -74.022265",116
"41.583519, -74.373188",143
"41.285235, -73.998710",142
"41.186927, -74.237350",326
"41.302081, -74.548556",187
"41.122955, -73.938031",52
"41.267448, -74.364011",211
"41.426089, -74.164664",97
"41.209896, -73.973842",12
"41.098072, -73.972649",33
"41.393700, -73.972175",179
"41.324076, -74.541179",186
"40.723317, -73.704949",29
"40.699176, -73.706166",20
"40.746204, -73.711478",36
"40.756596, -73.714178",69
"40.700587, -73.675018",18
"40.771442, -73.714819",69
"40.784319, -73.731488",28
"40.798909, -73.733653",28
"40.816251, -73.742872",19
"40.793409, -73.688549",47
"40.745347, -73.680292",38
"40.758534, -73.697235",38
"40.839900, -73.693124",12
"40.621346, -73.756990",2
"40.747155, -73.939750",8
"40.772884, -73.926295",11
"40.762574, -73.913447",23
"40.744634, -73.920201",30
"40.778877, -73.906769",9
"40.762211, -73.931528",12
"40.745115, -73.956928",2
"40.693682, -73.989693",54
"40.649591, -73.934371",13
"40.618779, -73.984826",13
"40.694696, -73.966286",16
"40.701954, -73.942358",9
"40.670747, -73.894209",10
"40.669769, -73.871372",4
"40.621982, -74.030324",21
"40.628147, -73.946324",11
"40.712597, -73.953098",10
"40.662936, -73.913029",10
"40.671078, -73.936336",35
"40.599148, -73.996090",11
"40.662688, -73.986740",42
"40.680768, -73.949316",19
"40.682306, -73.978099",13
"40.643468, -73.976046",19
"40.632667, -73.996669",19
"40.641221, -74.016862",31
"40.691340, -73.927879",19
"40.727790, -73.947605",4
"40.597139, -73.973428",7
"40.577372, -73.988706",2
"40.663046, -73.954219",23
"40.646448, -73.956649",17
"40.616695, -74.013047",18
"40.601293, -73.944493",5
"40.622164, -73.965105",14
"40.677916, -74.005154",5
"40.656546, -74.007355",20
"40.678308, -73.919936",24
"40.605080, -73.911721",7
"40.583949, -73.949096",4
"40.639413, -73.900664",6
"40.704160, -73.921139",15
"40.679171, -73.963804",30
"40.647735, -73.879477",13
"40.780747, -73.825301",5
"40.768208, -73.827403",7
"40.751452, -73.821031",18
"40.784850, -73.841279",17
"40.786393, -73.810864",21
"40.760471, -73.796371",21
"40.791781, -73.776875",17
"40.780379, -73.781230",17
"40.764191, -73.772775",27
"40.756574, -73.737845",38
"40.772616, -73.746526",22
"40.745289, -73.760586",32
"40.739634, -73.794490",12
"40.728152, -73.785019",20
"40.730145, -73.827030",26
"40.751718, -73.851822",7
"40.763365, -73.872374",18
"40.765393, -73.893243",19
"40.773894, -73.873475",7
"40.751690, -73.883638",30
"40.738837, -73.878535",11
"40.726418, -73.861526",26
"40.720934, -73.846151",25
"40.744819, -73.905156",20
"40.724744, -73.909639",9
"40.716748, -73.879601",32
"40.700671, -73.889433",28
"40.694021, -73.736216",17
"40.698095, -73.758986",16
"40.671659, -73.752568",7
"40.657604, -73.844804",3
"40.707917, -73.828212",40
"40.684654, -73.849548",8
"40.676446, -73.844443",10
"40.700272, -73.835971",19
"40.688673, -73.822918",14
"40.673583, -73.817730",12
"40.694062, -73.858626",21
"40.660060, -73.736012",3
"40.715606, -73.768471",19
"40.714304, -73.827263",21
"40.607754, -74.023937",5
"40.736425, -73.722376",31
"40.730904, -73.745661",38
"40.721016, -73.742245",24
"40.709766, -73.738653",20
"40.646964, -73.784813",10
"40.715359, -73.793071",40
"40.698162, -73.786893",8
"40.676808, -73.776425",13
"40.701265, -73.809605",15
"40.675807, -73.796622",10
"40.701282, -73.795972",22
"40.746286, -73.638905",37
"40.770847, -73.652260",42
"40.587963, -73.728528",5
"40.650127, -73.607709",8
"40.749892, -73.612477",28
"40.625787, -73.726685",7
"40.637472, -73.666807",1
"40.649401, -73.582951",5
"40.726854, -73.637009",30
"40.872605, -73.628622",43
"40.826321, -73.589365",45
"40.833670, -73.642687",33
"40.812868, -73.627405",57
"40.717289, -73.602775",30
"40.701475, -73.621108",22
"40.692979, -73.652416",22
"40.706430, -73.591622",21
"40.720115, -73.558861",24
"40.719678, -73.583860",30
"40.637176, -73.691976",-3
"40.605357, -73.649046",3
"40.603733, -73.717352",2
"40.880757, -73.588724",43
"40.589081, -73.648178",3
"40.657253, -73.673718",6
"40.675061, -73.671667",11
"40.663194, -73.554014",8
"40.786929, -73.596490",62
"40.589785, -73.582303",5
"40.666066, -73.638409",13
"40.631772, -73.636624",3
"40.680422, -73.584877",17
"40.798032, -73.647275",12
"40.783264, -73.638877",42
"40.844016, -73.644006",55
"40.674900, -73.702154",5
"40.651028, -73.715325",5
"40.755182, -73.574338",38
"40.759667, -73.642309",35
"40.630935, -73.712339",12
"40.601278, -73.761651",8
"40.594095, -73.792896",3
"40.590692, -73.809749",3
"40.578270, -73.844762",4
"40.555688, -73.920663",6
"40.682453, -73.414381",11
"40.650697, -73.262218",1
"40.732671, -73.325010",15
"40.717504, -73.358203",14
"40.743277, -73.055841",10
"40.722537, -73.252183",7
"40.906313, -73.558244",9
"40.671972, -73.531972",9
"40.776095, -72.942821",21
"40.742563, -73.486073",37
"40.751006, -73.034877",8
"40.776692, -73.134854",19
"40.783805, -73.252263",29
"40.716435, -73.261514",10
"40.782153, -72.912104",10
"40.870331, -73.082113",33
"40.902425, -73.371427",48
"40.783050, -73.194916",21
"40.864221, -73.456381",66
"40.840492, -73.280815",52
"40.678789, -73.395729",11
"40.882060, -73.004009",34
"40.761136, -73.325260",28
"40.717436, -73.170220",9
"40.862623, -73.316937",58
"40.844738, -73.536885",60
"40.940235, -73.112780",23
"40.732747, -73.432789",24
"40.838199, -73.038213",79
"40.736135, -73.161251",7
"40.865398, -73.361296",73
"40.794895, -73.070328",30
"40.810067, -73.041404",29
"40.883411, -73.423556",7
"40.814268, -73.362276",92
"40.788403, -73.407396",43
"40.806740, -73.170903",27
"40.730486, -73.213924",5
"40.757114, -73.174012",13
"40.789713, -73.539899",58
"40.885566, -73.249901",52
"40.857817, -73.116844",43
"40.724512, -73.516326",27
"40.689010, -73.373328",8
"40.668934, -73.458448",8
"40.682744, -73.446664",13
"40.826582, -72.984050",32
"40.938993, -72.979047",42
"40.882186, -73.558941",34
"40.939219, -73.018666",49
"40.842949, -73.145216",36
"40.923631, -73.339309",3
"40.734348, -73.125025",6
"40.645842, -73.156596",4
"40.872799, -73.525020",8
"40.761780, -72.987407",7
"40.913615, -73.046398",52
"40.956068, -73.066659",41
"40.948046, -72.937093",59
"40.812958, -73.114490",36
"40.909287, -73.174729",0
"40.738088, -73.081670",8
"40.677612, -73.490014",9
"40.868923, -73.041215",34
"40.950485, -72.886658",47
"40.852924, -73.211260",34
"40.818088, -73.213209",28
"40.962028, -72.971008",51
"40.905957, -73.127374",54
"40.828288, -73.505922",69
"40.954997, -72.825588",60
"40.651288, -73.514726",1
"40.913360, -73.124883",50
"40.709005, -73.296337",8
"40.731246, -73.099419",9
"40.820208, -73.472450",74
"40.752599, -73.378743",24
"40.762304, -73.524452",45
"40.781700, -73.473035",54
"40.759010, -73.457384",47
"40.926901, -72.643499",11
"40.989988, -72.099587",0
"40.934273, -72.612403",10
"40.934313, -72.306615",12
"40.942231, -72.765594",26
"40.798359, -72.794297",8
"41.021223, -72.486958",8
"41.013013, -72.168912",21
"41.123116, -72.315350",0
"40.813171, -72.752002",16
"40.830160, -72.729761",8
"40.850303, -72.581827",8
"41.104030, -72.371541",2
"40.870270, -72.521704",9
"40.950659, -72.571053",7
"40.963640, -72.553489",4
"40.866503, -72.804643",25
"40.808032, -72.847010",18
"40.763164, -72.830344",4
"41.001648, -72.547599",23
"40.892505, -72.951172",21
"41.047565, -71.946386",19
"40.809133, -72.816101",18
"40.969049, -72.462175",24
"41.192201, -72.148968",0
"41.039067, -72.464419",5
"40.822586, -72.601345",13
"40.810615, -72.706062",10
"40.905139, -72.888349",28
"40.930895, -72.268719",7
"40.993155, -72.319664",7
"41.055827, -72.319034",10
"41.096081, -72.288400",0
"40.794778, -72.875477",18
"40.905925, -72.415662",32
"40.938952, -72.577539",6
"41.064037, -72.430926",11
"40.847825, -72.702889",13
"40.867173, -72.882123",32
"40.941107, -72.244466",17
"40.922393, -72.350704",9
"40.827467, -72.678983",14
"40.826323, -72.649008",17
"40.831296, -72.923154",25
"42.455665, -73.927143",210
"42.853488, -73.906535",73
"42.697723, -74.035350",186
"42.937632, -74.173325",149
"42.294057, -73.825116",42
"42.321110, -73.455997",482
"42.628833, -73.520771",345
"42.934351, -73.881808",125
"43.001589, -73.868123",118
"42.656951, -73.333851",487
"42.598558, -74.183022",495
"42.476788, -73.533278",266
"43.083346, -74.138092",279
"42.935415, -73.907815",154
"42.934442, -73.442269",148
"42.415950, -73.424961",394
"42.766038, -74.451615",347
"43.124008, -74.525070",497
"42.543138, -73.705499",106
"42.730427, -74.359221",321
"42.541514, -74.673053",463
"42.344725, -73.567126",177
"42.637350, -73.350721",420
"42.577943, -73.952660",206
"42.416518, -73.938206",203
"42.693970, -74.530506",402
"42.482555, -73.800532",42
"42.507517, -73.925621",338
"42.784054, -73.726219",90
"42.345522, -73.842543",35
"42.754470, -73.478427",404
"42.757544, -74.190867",343
"42.608547, -73.864416",67
"42.764785, -74.095150",230
"42.968892, -73.346287",176
"42.344420, -73.917635",162
"42.619223, -74.060881",410
"42.410631, -73.505286",318
"42.599312, -73.657175",165
"42.538976, -73.504976",307
"42.568163, -73.638051",171
"42.614166, -74.655719",641
"42.852284, -73.785597",94
"42.790105, -74.352762",360
"42.557461, -73.920294",145
"42.956069, -74.401829",136
"42.946036, -74.279938",90
"42.986058, -74.263032",207
"42.552657, -74.422661",495
"42.884893, -74.356737",224
"43.054217, -74.030006",270
"42.299922, -73.633627",96
"42.410272, -74.395734",594
"42.588163, -73.777694",45
"43.134351, -74.339632",533
"42.424859, -74.026509",242
"42.704669, -73.899364",89
"42.703313, -73.963261",103
"43.009005, -74.086332",279
"42.432250, -73.892894",242
"42.867493, -73.312753",159
"42.876802, -73.351525",132
"42.696079, -74.378715",302
"42.497791, -74.628105",619
"42.899423, -73.490058",176
"43.024817, -74.403815",240
"42.389554, -73.710951",76
"43.573248, -74.451487",538
"42.750578, -73.776118",93
"42.477301, -73.576700",135
"42.538795, -74.911164",553
"43.167143, -74.261237",522
"42.909321, -73.713085",89
"42.449724, -74.148844",326
"42.839897, -73.607392",196
"42.542020, -74.326145",541
"42.547343, -73.598306",161
"42.453111, -73.797581",70
"42.484748, -73.399844",395
"42.442223, -73.659380",99
"42.453371, -74.463913",327
"42.470521, -73.630031",103
"43.269201, -74.228185",246
"42.420119, -73.565108",274
"42.860334, -74.133072",392
"42.748836, -73.370379",342
"43.500221, -74.579544",706
"42.696684, -73.540064",334
"42.489818, -73.855238",118
"42.627836, -73.717842",91
"42.518611, -74.158840",526
"42.827793, -73.848164",105
"42.616654, -74.563446",524
"42.880523, -74.052689",77
"42.922697, -73.787225",58
"42.629923, -73.473341",505
"42.937460, -73.605775",105
"42.596357, -74.827655",473
"42.483504, -73.747254",67
"42.669798, -74.286077",244
"42.542158, -73.822091",50
"42.651428, -73.885894",72
"42.761621, -74.383152",340
"42.534769, -73.854863",82
"43.578133, -74.359045",665
"42.306136, -73.504114",390
"42.833587, -74.445509",300
"42.424942, -74.578036",618
"42.560862, -73.380714",330
"42.592887, -73.448036",486
"43.001956, -73.667271",162
"42.288764, -73.739212",47
"42.380013, -73.759660",21
"42.353449, -73.728436",65
"42.544369, -74.556220",586
"42.382017, -73.980862",252
"42.950952, -74.287260",122
"42.748588, -73.599536",180
"42.799699, -73.630864",134
"42.747870, -73.692595",11
"42.419893, -73.653359",93
"42.862521, -73.554112",143
"42.633164, -73.977188",146
"42.618840, -74.463554",610
"42.821216, -73.695525",79
"42.736341, -73.717521",56
"43.475631, -74.285410",512
"42.409035, -73.827677",149
"42.522760, -74.043268",376
"42.528462, -74.447631",593
"42.482789, -73.475088",192
"42.631786, -73.613946",185
"42.609999, -74.724749",591
"42.672768, -73.633574",180
"42.635575, -73.759658",1
"42.681048, -73.846980",75
"42.691517, -73.733750",59
"42.718785, -73.829240",94
"42.674514, -73.782733",80
"42.658398, -73.745952",11
"42.653031, -73.809978",72
"42.638686, -73.790469",66
"42.659502, -73.756237",60
"42.703095, -73.763706",123
"42.685261, -73.823230",90
"42.878182, -73.982505",170
"42.740387, -73.905398",114
"42.774690, -73.898297",120
"42.811981, -73.950252",68
"42.805429, -74.044227",263
"42.804981, -73.932822",105
"42.820980, -73.919670",111
"42.799830, -73.864972",96
"41.987541, -74.010273",85
"41.818958, -74.236082",134
"42.317909, -74.085995",269
"42.079943, -74.524093",701
"42.317638, -74.358152",595
"42.040569, -74.181139",352
"42.066096, -74.424732",746
"41.876019, -74.044802",55
"42.012732, -74.279585",304
"42.313984, -74.022160",139
"42.232019, -73.913867",49
"42.103040, -74.281552",510
"41.906422, -73.990723",31
"42.358758, -74.161680",358
"41.860252, -74.102007",81
"41.672466, -74.371559",581
"42.250044, -74.546139",623
"42.391829, -74.213288",415
"42.379218, -74.109746",174
"42.247617, -74.115847",703
"42.134238, -74.136736",793
"41.746858, -74.466143",306
"41.833329, -73.985378",206
"42.200758, -74.499160",574
"42.362023, -74.023533",214
"42.044420, -73.944531",37
"42.000641, -74.156576",248
"42.363640, -74.502385",483
"41.730800, -74.513360",329
"42.195759, -74.077821",619
"42.204899, -74.601006",426
"42.277817, -74.210390",596
"41.781151, -74.172876",159
"42.134422, -74.509215",782
"42.182411, -74.222991",1071
"41.934991, -74.084925",127
"42.264233, -74.297520",538
"41.809559, -74.326443",216
"42.086646, -74.160660",578
"41.992378, -73.993774",55
"42.133247, -74.244279",530
"42.304893, -73.948176",117
"42.252385, -74.364938",524
"42.093389, -73.936281",60
"42.286970, -74.149542",647
"42.140733, -74.659478",423
"42.032705, -73.997133",56
"42.044071, -74.252501",443
"41.822918, -74.432080",425
"42.240382, -74.678893",780
"42.415615, -74.147590",252
"41.904961, -74.267998",328
"42.205517, -74.020428",385
"42.023540, -74.367292",718
"42.157153, -74.460016",654
"41.904345, -73.979025",57
"42.300462, -74.423763",513
"42.448595, -74.246097",616
"42.299624, -74.093387",652
"41.843871, -74.041344",36
"41.847090, -74.079545",45
"42.258166, -74.041007",247
"42.323807, -74.583034",563
"42.015237, -74.015432",108
"42.092591, -73.988110",110
"42.135382, -74.391275",689
"41.987348, -74.228435",345
"42.268143, -73.955446",88
"41.672377, -74.421991",133
"41.861918, -74.176528",208
"42.205023, -74.144201",634
"41.832417, -74.063984",88
"41.869399, -73.998805",174
"41.750485, -74.358293",91
"42.122854, -73.924476",47
"41.965192, -74.141459",258
"42.184926, -74.335763",690
"41.785665, -73.974132",152
"41.956598, -74.292894",569
"42.084923, -74.240680",527
"42.337294, -74.269692",671
"42.045663, -74.109618",179
"41.863095, -73.573627",376
"42.086568, -73.664724",281
"42.035959, -73.580146",169
"42.035298, -73.913144",38
"42.009241, -73.917141",40
"41.495996, -73.953632",98
"41.548499, -73.968402",20
"42.219307, -73.720481",53
"41.877409, -73.764423",207
"41.684774, -74.064840",165
"42.106275, -73.563583",161
"42.114296, -73.507454",294
"41.416157, -74.043064",178
"41.428017, -73.996195",262
"42.171335, -73.650487",272
"41.719979, -73.598384",324
"42.086870, -73.759509",158
"41.528785, -73.888317",69
"41.691564, -74.188272",85
"42.122234, -73.858769",65
"41.519428, -73.935669",83
"41.722054, -74.009482",118
"42.198626, -73.542777",391
"42.207459, -73.687752",158
"41.540556, -73.671671",292
"41.559772, -73.787099",105
"42.217345, -73.752256",54
"41.792230, -73.893767",96
"41.671202, -73.724891",171
"41.613876, -74.015014",188
"41.495520, -74.173104",139
"41.782904, -73.669402",240
"41.948000, -73.523349",247
"41.660687, -73.986567",146
"41.658064, -74.102416",157
"41.528031, -74.259365",107
"41.539574, -74.057223",127
"41.455714, -74.074901",136
"41.759307, -74.096058",59
"41.499189, -73.587226",133
"41.582614, -73.582577",196
"42.247128, -73.647638",155
"41.633519, -74.319661",146
"41.986194, -73.642216",199
"41.734556, -73.792835",136
"41.626321, -73.675662",147
"42.002775, -73.809608",117
"41.924885, -73.863664",112
"41.917688, -73.945658",55
"41.466705, -74.178871",140
"41.424040, -74.122142",154
"41.809120, -73.795854",84
"41.863651, -73.871536",133
"41.901615, -73.700592",125
"41.544301, -73.738452",260
"42.063367, -73.868652",56
"41.726404, -73.691510",268
"41.562764, -74.170102",111
"41.623791, -74.158771",117
"41.592556, -73.886853",67
"41.802075, -73.578626",376
"41.684461, -73.557676",172
"41.701921, -73.911519",57
"41.675868, -73.864484",75
"41.688259, -73.892171",54
"41.650829, -74.699907",491
"41.498250, -74.904285",341
"41.645848, -74.907849",388
"41.581723, -74.422422",206
"41.590634, -74.374304",118
"41.753100, -74.987694",368
"41.837621, -74.958711",453
"41.983183, -74.570105",760
"41.708209, -75.017203",373
"41.475792, -74.623499",180
"41.551487, -74.874606",344
"41.724769, -74.617933",406
"41.734585, -74.750460",419
"41.852843, -75.021754",542
"41.501481, -74.798632",463
"41.676246, -74.586211",422
"41.938832, -74.434026",656
"41.839141, -75.077725",383
"41.724328, -74.723518",380
"41.548548, -74.831025",386
"41.783433, -75.024648",311
"41.442335, -74.656785",365
"41.750928, -74.692894",424
"41.774642, -74.922609",344
"41.695254, -74.841166",419
"41.727825, -74.965854",364
"41.695730, -74.664485",452
"41.680039, -74.994190",381
"41.798195, -74.736889",432
"41.940283, -74.739118",658
"41.781730, -74.658853",461
"41.903930, -75.107835",570
"41.647960, -74.792011",392
"41.676348, -74.522774",369
"41.591553, -74.995556",315
"41.852341, -74.621165",531
"41.815208, -74.978854",471
"41.838093, -74.994415",507
"41.864443, -74.730022",621
"41.657942, -74.467272",392
"41.449118, -74.843117",346
"41.374380, -74.624279",382
"41.613617, -74.593360",472
"41.963341, -74.957643",599
"41.561782, -74.709708",470
"41.642678, -74.817550",411
"41.702466, -74.632195",381
"41.440142, -74.727343",344
"41.619674, -74.466383",267
"41.738633, -74.833724",417
"41.669877, -74.638240",423
"41.532391, -74.561274",391
"41.638710, -74.857609",392
"41.795394, -74.845029",500
"41.787539, -74.589314",434
"41.704524, -74.570951",378
"41.592057, -74.517419",353
"41.817275, -74.892870",511
"41.513920, -74.959820",362
"43.311160, -73.645286",106
"43.290078, -73.629363",108
"43.340954, -73.685911",149
"43.759987, -73.716438",565
"43.237078, -73.454506",187
"43.491968, -73.985941",503
"43.605457, -74.028330",478
"43.875794, -74.389767",835
"43.631894, -73.632551",399
"43.695985, -73.667881",400
"43.044236, -73.382032",185
"43.639585, -73.823628",370
"43.590870, -73.468547",344
"43.453564, -73.415995",82
"43.228585, -73.922206",541
"43.179961, -73.409117",208
"43.524756, -73.727177",337
"43.463898, -73.531366",366
"43.254993, -73.558355",64
"43.195329, -73.691811",84
"43.358467, -73.330271",301
