input,elevation
"42.266496, -73.378393",243
"42.547818, -73.268033",703
"42.297501, -73.230148",308
"42.367858, -73.269763",360
"42.333734, -73.249199",303
"42.350122, -73.024112",479
"42.118094, -73.257497",367
"42.186893, -73.223105",420
"42.698526, -73.084300",382
"42.206683, -73.113214",445
"42.382019, -73.365492",317
"42.107496, -73.118607",415
"42.594166, -73.022320",655
"42.085244, -73.367483",216
"42.109280, -73.462886",521
"42.075469, -73.234376",393
"42.295696, -73.342543",283
"42.292202, -73.319209",272
"42.231590, -73.202428",295
"42.312354, -73.388044",499
"42.671617, -73.246981",308
"42.515272, -73.031166",640
"42.626761, -72.601530",94
"42.513947, -72.821517",492
"42.562408, -72.191080",361
"42.689307, -72.582249",282
"42.572604, -72.824306",468
"42.603776, -72.889644",316
"42.694731, -72.710956",383
"42.496937, -72.709414",292
"42.543889, -72.609458",37
"42.657625, -72.978933",356
"42.613418, -72.426427",317
"42.693275, -72.823113",493
"42.559294, -72.518753",108
"42.563061, -72.482122",322
"42.727772, -72.985346",644
"42.539880, -72.521689",96
"42.624076, -72.508643",215
"42.458551, -72.327191",289
"42.677091, -72.453876",90
"42.605437, -72.292074",232
"42.475621, -72.192468",304
"42.695532, -72.909148",452
"42.679456, -72.176935",307
"42.593338, -72.726941",157
"42.475481, -72.615403",65
"42.466691, -72.546751",243
"42.595280, -72.555002",103
"42.673533, -72.353213",290
"42.556310, -72.407148",324
"42.584925, -71.816862",149
"42.657005, -71.923442",345
"42.676293, -71.832523",301
"42.566573, -71.575135",110
"42.538903, -71.612027",96
"42.602059, -72.087015",260
"42.562243, -72.031402",315
"42.584206, -71.988737",346
"42.611760, -71.565269",98
"42.501908, -71.568201",157
"42.489598, -72.002878",301
"42.519977, -71.763202",118
"42.535931, -71.490569",74
"42.582607, -71.720464",127
"42.670643, -71.602858",98
"42.573654, -71.640986",114
"42.489646, -71.609577",124
"42.542767, -72.068345",362
"42.664828, -71.695087",108
"42.554600, -71.905440",324
"42.669685, -71.752751",122
"42.668160, -72.055644",377
"42.198708, -71.846006",172
"42.384929, -71.633889",97
"42.039991, -71.532406",91
"42.355049, -71.716157",188
"42.180788, -72.107891",244
"42.133935, -71.968025",265
"42.411887, -71.690005",142
"42.209682, -72.040178",217
"42.053072, -71.752241",197
"42.127477, -72.118818",238
"42.203404, -71.679739",148
"42.336372, -71.850626",234
"42.046799, -72.180144",296
"42.375634, -71.867382",231
"42.483569, -71.675585",76
"42.249603, -71.919217",277
"42.106794, -71.630518",110
"42.192246, -71.777649",166
"42.036642, -71.578779",121
"42.319125, -72.130814",297
"42.323342, -71.646236",96
"42.142074, -71.643348",88
"42.267564, -72.066876",277
"42.231309, -71.692642",124
"42.158966, -71.897051",219
"42.116263, -71.857465",148
"42.454125, -71.877540",357
"42.204251, -71.908907",231
"42.388285, -71.969865",339
"42.284767, -71.714228",188
"42.059737, -72.033908",201
"42.175395, -71.674223",120
"42.443970, -71.685583",93
"42.247211, -71.991867",278
"42.447924, -71.776045",236
"42.103214, -72.079545",184
"42.176526, -71.603588",99
"42.055930, -71.631232",141
"42.047532, -71.846952",151
"42.053778, -71.935075",208
"42.268426, -71.613309",94
"42.369417, -71.785036",153
"42.240796, -72.162645",213
"42.118794, -71.672494",128
"42.132051, -71.750318",253
"42.269189, -71.850728",171
"42.243826, -71.843569",158
"42.253254, -71.767957",148
"42.289683, -71.787793",182
"42.315249, -71.795741",187
"42.225974, -71.788894",138
"42.261980, -71.801462",159
"42.285114, -71.829987",175
